trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.5, 'e': 0.3660323412732296}",35,15,-41.935103211941524,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.3623720178604973}",20,0,-23.071362918464327,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.3587482976818923}",20,16,4.648639396144719,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.3551608147050734}",20,0,11.43164256952632,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.35160920655802264}",20,6,15.676105106215916,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.3480931144924424}",25,14,15.422215504112176,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.344612183347518}",25,13,-55.75412227986043,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.3411660615140428}",25,10,7.85701489257707,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.33775440089890235}",20,13,-13.808109099263659,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.3343768568899133}",25,17,14.554138034561257,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.3310330883210142}",25,20,8.55808820828341,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.32772275743780405}",25,15,-25.24902381395479,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.324445529863426}",20,0,-35.65633764765466,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.32120107456479174}",30,8,8.98921246403043,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3179890638191438}",20,10,7.672893498526982,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.31480917318095236}",20,11,14.213278503218511,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.31166108144914284}",25,0,12.367129092361935,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.3085444706346514}",20,0,-47.573752309720874,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
118,False,"{'a': 0.5, 'e': 0.3054590259283049}",25,7,8.759971650337784,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.3024044356690218}",35,9,-45.95495910140332,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 1}",1
120,False,"{'a': 0.5, 'e': 0.2993803913123316}",20,11,5.432316100018458,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.29638658739920826}",30,19,9.9588325708219,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.2934227215252162}",20,3,4.547297836609895,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.29048849430996404}",20,3,-6.306275267780175,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.2875836093668644}",25,0,36.24163519000244,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.28470777327319574}",25,0,-51.62155817197341,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.2818606955404638}",25,4,2.502554358795665,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.27904208858505913}",20,10,5.984572108424889,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.27625166769920856}",35,11,16.669316975678232,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.2734891510222165}",25,13,22.860189790508556,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.27075425951199433}",35,8,-41.80665570594065,"{0: 23, 1: 0, 2: 2, 3: 1, 4: 1}",1
131,False,"{'a': 0.5, 'e': 0.2680467169168744}",25,15,18.73019424947108,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2653662497477056}",20,0,32.18104959380382,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.26271258725022856}",25,4,-79.83670974098894,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 2}",1
134,False,"{'a': 0.5, 'e': 0.26008546137772626}",25,0,-21.19870942378691,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
135,False,"{'a': 0.5, 'e': 0.257484606763949}",20,0,16.30683112352195,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.25490976069630955}",20,7,-70.5486567449895,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 2}",1
137,False,"{'a': 0.5, 'e': 0.25236066308934646}",30,13,16.35665168664798,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.249837056458453}",20,8,16.733644943398744,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.24733868589386848}",35,15,11.605887748168474,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.2448652990349298}",25,17,-27.302575555843305,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
141,False,"{'a': 0.5, 'e': 0.2424166460445805}",25,13,1.753887335720396,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.2399924795841347}",25,5,9.691612667719744,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23759255478829336}",20,8,19.977273245333176,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.23521662924041042}",25,13,-19.623836198961914,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.2328644629480063}",25,10,-19.322369527826286,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.5, 'e': 0.23053581831852624}",20,0,6.110814797232222,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.22823046013534098}",25,14,1.6497124368391047,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.2259481555339876}",30,14,23.060933062315517,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.22368867397864772}",25,16,17.5132237069933,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22145178723886125}",25,17,-29.155480725944017,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.21923726936647264}",20,0,28.164514930673356,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.2170448966728079}",25,11,27.970898309653656,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21487444770607983}",25,13,7.26842620632636,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21272570322901904}",30,18,-42.94513937767864,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
155,False,"{'a': 0.5, 'e': 0.21059844619672885}",20,5,-5.915813455113553,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.20849246173476157}",20,16,8.101651051441841,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.20640753711741397}",25,15,8.224472027009064,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20434346174623982}",25,6,14.6094931606432,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20230002712877743}",25,20,9.109414959111039,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20027702685748966}",20,0,29.359445652815467,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.19827425658891476}",20,12,1.0732663966980487,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.1962915140230256}",20,0,-6.594556088898306,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
163,False,"{'a': 0.5, 'e': 0.19432859888279536}",30,22,12.90280858908411,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.1923853128939674}",25,11,3.7724049300687534,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.19046145976502774}",20,14,11.512863799685382,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.18855684516737745}",20,9,14.720203638173263,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.18667127671570366}",20,10,4.871828380377244,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.18480456394854664}",20,9,24.313748824912437,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18295651830906118}",25,7,-22.639228155835973,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18112695312597057}",30,13,11.214176266577088,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.17931568359471087}",20,14,10.650974997399794,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17752252675876376}",25,13,15.326448221381339,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17574730149117612}",20,8,20.78376960886949,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17398982847626437}",30,13,20.64015830863955,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17224993019150173}",20,8,8.286380630310731,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17052743088958672}",25,5,36.28377105186241,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.16882215658069086}",20,11,19.096658847527994,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.16713393501488394}",20,8,21.09360574947578,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.1654625956647351}",20,13,13.88982392812359,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16380796970808775}",25,20,8.466191974503985,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16216989001100687}",25,12,10.832856200706473,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.1605481911108968}",20,12,14.264798414083884,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.15894270919978784}",30,22,4.155416745605703,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
